"Transect","year","date","start.time","presence"
"EASO-23",2017,"2017-04-08","22:09",0
"EASO-23",2018,"2018-04-16","22:05",0
"EASO-23",2018,"2018-05-07","01:29",0
"EASO-23",2018,"2018-05-24","22:05",0
"EASO-23",2018,"2018-05-30","23:45",0
"EASO-23",2019,"2019-04-12","19:30",0
"EASO-23",2019,"2019-04-18","19:45",0
"EASO-23",2019,"2019-04-25","19:30",0
"EASO-23",2019,"2019-05-09","20:00",0
"EASO-24",2013,"2013-03-31","20:07",0
"EASO-24",2013,"2013-05-02","20:54",0
"EASO-24",2013,"2013-05-28","21:00",0
"EASO-24",2014,"2014-03-16","21:30",0
"EASO-24",2014,"2014-03-30","21:45",0
"EASO-24",2014,"2014-04-22","20:55",0
"EASO-24",2014,"2014-05-24","21:25",0
"EASO-24",2015,"2015-03-09","19:35",0
"EASO-24",2015,"2015-03-23","20:00",0
"EASO-24",2015,"2015-04-24","20:35",0
"EASO-24",2015,"2015-05-15","21:25",0
"EASO-24",2017,"2017-03-25","19:49",0
"EASO-24",2017,"2017-04-23","21:13",0
"EASO-24",2017,"2017-05-22","21:31",0
"EASO-24",2018,"2018-03-22","22:26",0
"EASO-24",2018,"2018-04-15","20:20",0
"EASO-24",2018,"2018-05-13","20:45",0
"EASO-24",2018,"2018-05-30","21:24",0
"EASO-24",2019,"2019-05-13","22:00",1
"EASO-24",2021,"2021-03-28","20:55",0
"EASO-24",2021,"2021-04-13","21:10",0
"EASO-24",2021,"2021-04-26","20:50",0
"EASO-24",2021,"2021-05-25","21:00",0
"EASO-25",2014,"2014-03-09","19:36",0
"EASO-25",2014,"2014-03-24","20:01",0
"EASO-25",2014,"2014-04-14","20:17",0
"EASO-25",2014,"2014-05-27","21:00",1
"EASO-25",2015,"2015-03-18","20:30",0
"EASO-25",2015,"2015-04-07","20:35",0
"EASO-25",2016,"2016-04-03","20:56",0
"EASO-25",2016,"2016-04-26","21:24",0
"EASO-25",2016,"2016-05-12","21:57",1
"EASO-25",2017,"2017-03-25","21:50",0
"EASO-25",2017,"2017-04-17","21:16",0
"EASO-25",2017,"2017-04-29","21:41",0
"EASO-25",2017,"2017-05-22","21:15",0
"EASO-25",2019,"2019-03-20","20:09",0
"EASO-25",2019,"2019-04-03","20:26",0
"EASO-25",2019,"2019-05-01","21:00",0
"EASO-25",2019,"2019-05-24","21:14",0
"EASO-25",2020,"2020-03-30","19:45",0
"EASO-25",2020,"2020-04-20","20:20",0
"EASO-25",2020,"2020-05-01","20:35",0
"EASO-27",2013,"2013-05-20","23:46",0
"EASO-27",2014,"2014-03-14","21:00",0
"EASO-27",2014,"2014-04-05","22:35",0
"EASO-27",2014,"2014-05-05","04:02",0
"EASO-27",2014,"2014-05-17","22:12",0
"EASO-27",2019,"2019-04-17","22:38",0
"EASO-27",2021,"2021-04-07","22:23",0
"EASO-27",2021,"2021-04-28","22:04",0
"EASO-28",2014,"2014-03-14","20:20",0
"EASO-28",2014,"2014-04-05","22:00",0
"EASO-28",2014,"2014-04-25","22:30",0
"EASO-28",2014,"2014-05-04","20:50",0
"EASO-28",2015,"2015-03-06","19:04",0
"EASO-28",2015,"2015-03-09","19:53",0
"EASO-28",2015,"2015-04-01","20:07",0
"EASO-28",2015,"2015-05-01","20:46",0
"EASO-28",2016,"2016-05-23","21:08",0
"EASO-28",2018,"2018-04-19","21:41",0
"EASO-28",2018,"2018-04-28","04:13",1
"EASO-28",2018,"2018-04-30","04:15",1
"EASO-28",2019,"2019-03-28","20:12",0
"EASO-28",2019,"2019-04-04","20:45",0
"EASO-28",2019,"2019-04-16","22:23",0
"EASO-28",2019,"2019-04-17","21:25",0
"EASO-28",2020,"2020-03-26","19:59",0
"EASO-28",2020,"2020-04-21","20:45",0
"EASO-28",2020,"2020-05-25","21:00",0
"EASO-28",2021,"2021-04-03","20:36",0
"EASO-28",2021,"2021-04-24","20:50",0
"EASO-28",2021,"2021-05-14","20:44",0
"EASO-28",2021,"2021-05-27","20:42",0
"EASO-29",2013,"2013-03-29","00:00",0
"EASO-29",2013,"2013-05-02","23:30",1
"EASO-29",2013,"2013-05-16","23:35",1
"EASO-29",2014,"2014-03-13","21:15",0
"EASO-29",2014,"2014-04-08","21:02",0
"EASO-29",2015,"2015-03-29","20:10",0
"EASO-29",2015,"2015-04-22","20:25",0
"EASO-29",2015,"2015-05-11","20:46",0
"EASO-29",2016,"2016-04-01","20:18",0
"EASO-29",2016,"2016-04-14","20:30",0
"EASO-29",2016,"2016-04-23","23:30",0
"EASO-29",2016,"2016-05-12","22:15",0
"EASO-29",2018,"2018-03-25","21:09",0
"EASO-29",2018,"2018-04-18","21:22",0
"EASO-29",2018,"2018-05-03","22:50",0
"EASO-29",2019,"2019-04-02","21:30",0
"EASO-29",2019,"2019-04-16","21:48",0
"EASO-29",2019,"2019-05-13","21:42",0
"EASO-29",2019,"2019-05-24","22:30",0
"EASO-29",2020,"2020-03-31","22:58",0
"EASO-29",2020,"2020-04-21","20:42",0
"EASO-29",2020,"2020-05-01","20:48",0
"EASO-29",2020,"2020-05-15","21:07",0
"EASO-29",2021,"2021-03-25","22:27",0
"EASO-29",2021,"2021-04-18","21:20",0
"EASO-29",2021,"2021-04-29","21:34",0
"EASO-29",2021,"2021-05-20","23:12",0
"EASO-30",2013,"2013-03-10","21:00",0
"EASO-30",2013,"2013-05-11","05:00",0
"EASO-30",2013,"2013-05-17","05:05",0
"EASO-30",2014,"2014-04-07","19:50",0
"EASO-30",2014,"2014-04-14","21:00",1
"EASO-30",2014,"2014-04-21","21:00",1
"EASO-30",2014,"2014-04-28","21:00",1
"EASO-30",2015,"2015-04-02","19:45",0
"EASO-30",2015,"2015-04-12","19:45",0
"EASO-30",2015,"2015-04-19","20:20",0
"EASO-30",2015,"2015-04-23","21:50",0
"EASO-30",2016,"2016-03-28","19:55",0
"EASO-30",2016,"2016-04-04","19:40",0
"EASO-30",2016,"2016-04-11","19:45",0
"EASO-30",2017,"2017-03-21","19:25",0
"EASO-30",2017,"2017-03-28","19:55",0
"EASO-30",2017,"2017-04-11","19:45",0
"EASO-30",2017,"2017-05-04","21:25",0
"EASO-30",2018,"2018-04-25","22:20",1
"EASO-30",2018,"2018-05-02","22:10",1
"EASO-30",2018,"2018-05-09","22:15",0
"EASO-30",2018,"2018-05-16","22:15",0
"EASO-30",2019,"2019-04-02","19:30",0
"EASO-30",2019,"2019-05-01","20:15",0
"EASO-30",2019,"2019-05-15","19:55",0
"EASO-31",2013,"2013-03-30","21:30",0
"EASO-31",2013,"2013-04-14","22:05",0
"EASO-31",2013,"2013-05-23","21:50",0
"EASO-31",2019,"2019-04-16","21:45",1
"EASO-31",2019,"2019-04-23","21:00",1
"EASO-31",2019,"2019-05-02","19:30",0
"EASO-31",2019,"2019-05-08","20:00",0
"EASO-31",2020,"2020-04-08","19:50",0
"EASO-31",2020,"2020-04-15","20:00",0
"EASO-31",2020,"2020-04-23","20:30",0
"EASO-31",2021,"2021-03-29","19:41",0
"EASO-32",2013,"2013-03-30","20:51",0
"EASO-32",2013,"2013-04-14","22:45",0
"EASO-32",2013,"2013-05-23","22:25",0
"EASO-32",2014,"2014-05-15","21:20",0
"EASO-32",2014,"2014-05-29","21:43",0
"EASO-32",2016,"2016-04-03","21:38",0
"EASO-32",2016,"2016-04-26","22:15",0
"EASO-32",2016,"2016-05-12","21:20",0
"EASO-32",2018,"2018-05-27","20:55",0
"EASO-32",2018,"2018-05-31","21:02",1
"EASO-32",2018,"2018-06-01","21:05",0
"EASO-32",2020,"2020-03-05","05:20",0
"EASO-32",2020,"2020-05-04","21:07",0
"EASO-32",2021,"2021-05-21","21:40",0
"EASO-33",2013,"2013-03-26","21:50",0
"EASO-33",2013,"2013-04-13","21:46",1
"EASO-33",2013,"2013-05-13","20:12",0
"EASO-33",2014,"2014-03-20","22:35",0
"EASO-33",2014,"2014-05-14","21:45",0
"EASO-33",2015,"2015-03-13","20:14",0
"EASO-33",2015,"2015-04-20","20:50",0
"EASO-33",2015,"2015-05-18","21:45",0
"EASO-33",2016,"2016-03-31","21:08",0
"EASO-33",2016,"2016-04-11","20:38",0
"EASO-33",2016,"2016-05-12","21:25",0
"EASO-33",2016,"2016-05-17","20:58",1
"EASO-33",2017,"2017-03-22","21:22",0
"EASO-33",2017,"2017-04-08","22:02",0
"EASO-33",2017,"2017-05-04","21:48",0
"EASO-33",2017,"2017-05-22","21:59",0
"EASO-33",2018,"2018-04-23","20:45",1
"EASO-33",2018,"2018-05-14","20:55",1
"EASO-33",2018,"2018-05-30","21:00",1
"EASO-33",2020,"2020-04-03","20:55",1
"EASO-33",2020,"2020-04-14","21:05",0
"EASO-33",2020,"2020-04-21","21:30",0
"EASO-33",2020,"2020-05-06","21:00",1
"EASO-33",2021,"2021-03-23","22:37",0
"EASO-33",2021,"2021-04-19","21:01",0
"EASO-33",2021,"2021-05-01","22:21",0
"EASO-34",2013,"2013-03-26","19:50",0
"EASO-34",2013,"2013-04-27","21:10",0
"EASO-34",2013,"2013-05-03","21:05",0
"EASO-34",2014,"2014-03-05","19:20",0
"EASO-34",2014,"2014-03-25","19:45",0
"EASO-34",2014,"2014-04-09","20:03",0
"EASO-34",2014,"2014-05-28","21:25",0
"EASO-34",2017,"2017-03-28","20:20",0
"EASO-34",2017,"2017-05-05","20:20",0
"EASO-34",2017,"2017-05-19","21:15",0
"EASO-34",2017,"2017-05-28","21:00",0
"EASO-34",2018,"2018-03-12","20:06",0
"EASO-34",2018,"2018-04-27","22:09",0
"EASO-34",2018,"2018-05-09","22:10",0
"EASO-34",2018,"2018-05-29","22:05",0
"EASO-34",2019,"2019-03-12","19:45",0
"EASO-34",2019,"2019-04-08","20:00",0
"EASO-34",2019,"2019-04-23","20:20",0
"EASO-34",2020,"2020-03-29","21:35",0
"EASO-34",2020,"2020-04-14","21:07",0
"EASO-34",2020,"2020-05-01","21:44",0
"EASO-34",2020,"2020-05-22","23:09",0
"EASO-36",2013,"2013-03-07","18:42",0
"EASO-36",2013,"2013-04-20","04:55",0
"EASO-36",2013,"2013-05-20","21:46",0
"EASO-36",2015,"2015-03-15","19:38",0
"EASO-36",2015,"2015-04-05","20:22",1
"EASO-36",2015,"2015-04-21","20:36",0
"EASO-36",2015,"2015-05-29","21:24",1
"EASO-36",2016,"2016-03-21","19:57",0
"EASO-36",2016,"2016-04-14","20:47",0
"EASO-36",2016,"2016-05-03","20:37",0
"EASO-36",2016,"2016-05-23","20:59",0
"EASO-36",2017,"2017-03-11","18:36",0
"EASO-36",2017,"2017-04-02","19:59",0
"EASO-36",2017,"2017-04-22","20:37",0
"EASO-36",2017,"2017-05-12","20:37",0
"EASO-36",2018,"2018-04-24","22:20",0
"EASO-36",2018,"2018-05-04","23:57",0
"EASO-36",2018,"2018-05-28","22:40",0
"EASO-36",2018,"2018-05-31","23:55",1
"EASO-36",2019,"2019-05-13","20:49",1
"EASO-36",2019,"2019-05-17","21:39",1
"EASO-36",2020,"2020-05-07","20:50",0
"EASO-36",2020,"2020-05-17","21:50",0
"EASO-36",2020,"2020-05-20","21:22",0
"EASO-36",2020,"2020-05-28","22:15",0
"EASO-37",2014,"2014-03-14","20:10",1
"EASO-37",2014,"2014-03-26","20:00",1
"EASO-37",2014,"2014-04-03","20:30",1
"EASO-37",2014,"2014-04-15","20:00",1
"EASO-37",2016,"2016-03-26","20:47",0
"EASO-37",2016,"2016-04-09","20:55",0
"EASO-37",2016,"2016-05-02","21:38",1
"EASO-37",2016,"2016-05-13","21:30",1
"EASO-37",2017,"2017-03-25","20:17",0
"EASO-37",2017,"2017-04-20","21:13",0
"EASO-37",2017,"2017-04-30","21:12",0
"EASO-37",2017,"2017-05-11","21:30",0
"EASO-37",2018,"2018-04-15","21:07",1
